,T0,T5
ADM001,0.04013107326348153,0.10888568276330306
ADM002,0.057781188412368976,0.05471555968253412
ADM003,0.03850834492350487,0.03033041349054816
CTA001,0.03595930593708157,0.03985691022184255
CTA002,0.09063281813577272,0.056908754702544154
CTA003,0.13192556972611333,0.09931045109595901
ESP001,0.042768604123016515,0.04133099824868652
ESP002,0.11399198046368597,0.03544559300263013
ESP003,0.04553056354172539,0.09137176647199897
ESP004,0.043243677238057006,0.03681717519685039
ESP005,0.07898694787794969,0.03998410569711419
ESP006,0.039187462599666836,0.10576254797086997
ESP007,0.1115784654563143,0.12668962180928262
ESP008,0.07145613583740675,0.056480291166502494
EST001,0.08384009211615272,0.0367467484523201
EST002,0.18319824608025512,0.03319086673597474
EST003,0.05467960200769736,0.07229464536024671
MED001,0.03354204620259947,0.050374817512261534
MED002,0.1476940856772501,0.1950233575034997
MED003,0.21945828426487907,0.11459353574926542
MED004,0.03637330582907608,0.03592581804058646
MED005,0.08343602754621239,0.09074894956466495
NRT001,0.13946625816334757,0.1001792344130073
NRT002,0.03723932472691162,0.048306642163297456
NRT003,0.037017199309647086,0.03902402957486137
