,T0,T5
ADM001,0.9228345844191203,0.8036124292055717
ADM002,0.8907502061005771,0.8962458471760797
ADM003,0.9258391227923328,0.941124879760086
CTA001,0.9305777635646519,0.9233415485726022
CTA002,0.8337977426890709,0.8923109408464299
CTA003,0.7669006280014776,0.8193222833514385
ESP001,0.917971055219896,0.9206189034645139
ESP002,0.7953450608930988,0.9315355760994772
ESP003,0.9129043853342919,0.8325561109806421
ESP004,0.9170976480728974,0.9289803909935033
ESP005,0.8535905405838433,0.9231063138790715
ESP006,0.9245805708594017,0.8087065832263001
ESP007,0.7992432042833608,0.7751117621801834
ESP008,0.8666186445765052,0.8930783817951959
EST001,0.8452906610006308,0.9291114276322998
EST002,0.6903338106066986,0.9357507546677598
EST003,0.896310496754448,0.8651589921239257
MED001,0.9350930205000593,0.9040822063278883
MED002,0.7426246462007402,0.673607454985785
MED003,0.6400725025257027,0.7943760984182777
MED004,0.929806555949493,0.9306401724622739
MED005,0.8459788572193229,0.8336024992719282
NRT001,0.7552077436884411,0.8178856112177809
NRT002,0.9281953087601723,0.9078387177560732
NRT003,0.9286083213773314,0.9248832972788341
